DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
ex1,1,Mk10,DS,5,0,2,35,19,22:31:50 10-May-2017,NN,0,35.3539,-74.7484,35.3539,-74.7484,50,,401677665,-133
ex1,1,Mk10,DS,6,0,1,20,17,02:08:59 11-May-2017,MB,0,35.4691,-74.3593,34.7784,-77.8050,58,,401677642,-124
ex1,1,Mk10,DS,6,0,1,23,16,03:00:38 11-May-2017,MA,0,35.4710,-74.7090,30.1347,-100.1438,58,,401677574,-121
ex1,1,Mk10,DS,1,0,1,,,09:17:33 11-May-2017,NP,,,,,,,,401650000,-131
ex1,1,Mk10,DS,7,2,4,,,12:39:32 11-May-2017,NN,0,35.4492,-74.8826,37.4234,-84.2474,50,,401677625,-120
ex1,1,Mk10,DS,3,0,1,65,30,13:35:06 11-May-2017,MA,0,35.5483,-74.7545,27.8593,-38.5846,68,,401677659,-120
ex1,1,Mk10,DS,11,5,4,,,00:04:37 12-May-2017,NN,0,35.3692,-74.8222,31.6034,-91.9697,58,,401677574,-123
ex1,1,Mk10,DS,7,3,2,,,00:05:11 12-May-2017,SR,0,35.2995,-74.5806,39.6640,-96.2716,58,,401677613,-124
ex1,1,Mk10,DS,9,3,4,,,01:50:14 12-May-2017,MB,1,35.3519,-74.6799,36.7797,-67.6486,50,,401677586,-124
ex1,1,Mk10,DS,1,0,1,,,02:30:42 12-May-2017,MA,,,,,,,,401650000,-131
ex1,1,Mk10,DS,8,0,5,22,15,08:59:01 12-May-2017,NP,0,35.2931,-74.7742,37.5104,-85.1463,58,,401677610,-121
ex1,1,Mk10,DS,4,0,4,22,17,10:58:41 12-May-2017,NK,0,35.2156,-75.3219,30.9536,-53.5693,58,,401677522,-130
ex1,1,Mk10,DS,7,1,3,,,11:24:13 12-May-2017,SR,0,35.3288,-74.8953,30.7344,-97.0827,58,,401677578,-125
ex1,1,Mk10,DS,4,0,1,29,17,13:14:37 12-May-2017,MA,0,35.4548,-74.6801,25.8942,-28.6144,58,,401677670,-125
ex1,1,Mk10,DS,4,0,3,39,14,16:32:56 12-May-2017,MA,0,35.3946,-74.1647,45.7282,-125.2214,50,,401677796,-130
ex1,1,Mk10,DS,8,0,8,28,15,22:14:04 12-May-2017,NN,0,35.3266,-74.8485,43.1657,-38.2456,50,,401677586,-127
ex1,1,Mk10,DS,8,0,8,28,14,22:14:04 12-May-2017,NK,0,35.1907,-75.0555,38.8134,-57.4039,50,,401677568,-125
ex1,1,Mk10,DS,5,0,2,25,16,23:39:18 12-May-2017,SR,0,35.0852,-74.8325,36.3272,-81.1477,60,,401677588,-128
ex1,1,Mk10,DS,1,0,1,,,02:09:10 13-May-2017,MA,,,,,,,,401650000,-130
ex1,1,Mk10,DS,1,0,1,,,03:06:53 13-May-2017,MB,,,,,,,,401650000,-133
ex1,1,Mk10,DS,6,0,5,27,15,07:07:59 13-May-2017,NP,0,35.1082,-74.7491,25.8055,-31.8524,50,,401677499,-130
ex1,1,Mk10,DS,6,0,3,24,17,10:52:47 13-May-2017,SR,0,35.1616,-75.0015,33.6960,-82.1733,58,,401677614,-119
ex1,1,Mk10,DS,2,0,1,52,52,12:20:09 13-May-2017,NN,B,34.9500,-75.1018,34.5051,-72.7254,8,,401677587,-128
ex1,1,Mk10,DS,7,0,6,21,15,14:33:22 13-May-2017,MA,0,33.3058,-66.1881,33.3445,-66.3646,58,,401677624,-117
ex1,1,Mk10,DS,4,0,4,27,17,18:27:53 13-May-2017,NP,Z,34.7938,-75.5923,42.3771,-38.0218,38,,401677745,-133
ex1,1,Mk10,DS,6,0,5,33,19,21:59:14 13-May-2017,NN,0,35.1311,-74.7550,43.8246,-32.9572,50,,401677647,-129
ex1,1,Mk10,DS,2,0,1,71,71,23:01:17 13-May-2017,SR,B,35.7488,-74.6306,32.6456,-65.0052,8,,401677647,-132
ex1,1,Mk10,DS,7,0,2,20,15,23:21:35 13-May-2017,NK,0,35.2468,-74.4541,31.3021,-93.8982,56,,401677705,-127
ex1,1,Mk10,DS,7,0,3,20,15,23:42:37 13-May-2017,NN,Z,33.8557,-81.1926,35.6612,-72.7883,38,,401677614,-122
ex1,1,Mk10,DS,4,0,2,20,20,01:18:00 14-May-2017,NN,Z,34.7837,-74.8686,23.2905,-128.3850,36,,401677754,-133
ex1,1,Mk10,DS,2,0,2,44,44,01:51:21 14-May-2017,MA,B,35.1845,-76.9208,36.6201,-69.1503,8,,401677647,-126
ex1,1,Mk10,DS,3,0,3,34,19,03:33:21 14-May-2017,MA,A,34.9077,-74.9800,26.0997,-118.1399,8,,401677712,-127
ex1,1,Mk10,DS,1,0,0,,,10:14:47 14-May-2017,SR,,,,,,,,401650000,-138
ex1,1,Mk10,DS,9,3,2,,,12:06:41 14-May-2017,NN,0,35.1464,-75.0932,33.5520,-67.5208,50,,401677566,-124
ex1,1,Mk10,DS,9,0,2,17,15,15:06:01 14-May-2017,MB,Z,34.8963,-74.0012,36.6782,-82.6753,30,,401677677,-126
ex1,1,Mk10,DS,3,0,2,36,19,23:31:17 14-May-2017,NN,,,,,,,,401650000,-129
ex1,1,Mk10,DS,6,0,4,29,17,00:15:12 15-May-2017,SR,0,35.2116,-75.0277,39.8630,-98.7209,50,,401677609,-122
ex1,1,Mk10,DS,3,0,3,52,18,00:38:40 15-May-2017,NK,A,34.8846,-74.9061,23.6747,-129.0149,8,,401677686,-133
ex1,1,Mk10,DS,9,1,4,,,01:34:19 15-May-2017,MA,0,35.1883,-74.8027,38.0326,-60.8141,58,,401677618,-115
ex1,1,Mk10,DS,7,0,6,21,15,02:30:46 15-May-2017,MB,0,35.1580,-74.9476,33.0334,-85.2158,58,,401677552,-123
ex1,1,Mk10,DS,2,0,2,18,18,11:24:55 15-May-2017,NK,B,33.8350,-75.0607,32.2389,-66.3753,6,,401677618,-133
ex1,1,Mk10,DS,14,0,12,27,17,11:28:00 15-May-2017,SR,1,30.0057,-100.1032,35.0522,-75.0306,50,,401677612,-125
ex1,1,Mk10,DS,4,0,3,73,28,12:55:37 15-May-2017,NK,0,35.1236,-75.0799,43.1136,-113.8785,58,,401677561,-130
ex1,1,Mk10,DS,6,0,6,21,18,13:37:04 15-May-2017,NN,0,34.9347,-75.3440,41.9351,-109.7760,58,,401677581,-131
ex1,1,Mk10,DS,7,0,3,22,17,19:49:34 15-May-2017,NP,,,,,,,,401650000,-125
ex1,1,Mk10,DS,2,0,1,32,32,23:09:12 15-May-2017,NN,B,34.6928,-75.8055,35.9754,-68.9392,8,,401677606,-137
ex1,1,Mk10,DS,4,0,2,34,15,23:38:39 15-May-2017,SR,Z,34.7901,-74.6591,36.7928,-85.1005,30,,401677593,-129
ex1,1,Mk10,DS,4,0,2,30,18,00:59:41 16-May-2017,NN,0,35.1209,-75.0070,25.7291,-116.8354,60,,401677525,-129
ex1,1,Mk10,DS,1,0,0,,,08:07:35 16-May-2017,NP,,,,,,,,401650000,-137
ex1,1,Mk10,DS,6,0,1,23,14,11:41:22 16-May-2017,NN,1,35.0055,-74.9798,31.0240,-56.4471,66,,401677621,-121
ex1,1,Mk10,DS,2,0,0,124,124,13:22:04 16-May-2017,NN,B,35.0194,-75.3113,40.9816,-103.9906,8,,401677608,-129
ex1,1,Mk10,DS,2,0,0,18,18,14:24:00 16-May-2017,MB,B,35.2049,-74.9055,31.6786,-60.7957,8,,401677608,-128
ex1,1,Mk10,DS,2,0,0,16,16,19:43:37 16-May-2017,NP,,,,,,,,401650000,-136
ex1,1,Mk10,DS,3,0,3,53,18,21:22:17 16-May-2017,NP,A,35.1608,-75.5372,25.8590,-117.0896,8,,401677644,-135
