DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
ex1,1,Mk10,22:31:50 10-May-2017,Argos,0,35.3539,-74.7484,11188,110292,1134,58,,,,,,
ex1,1,Mk10,02:08:59 11-May-2017,Argos,0,35.4691,-74.3593,13289,605171,291,78,,,,,,
ex1,1,Mk10,03:00:38 11-May-2017,Argos,0,35.4710,-74.7090,17009,347503,832,95,,,,,,
ex1,1,Mk10,12:39:32 11-May-2017,Argos,0,35.4492,-74.8826,1523,2272,1020,129,,,,,,
ex1,1,Mk10,13:35:06 11-May-2017,Argos,0,35.5483,-74.7545,1694,12995,220,124,,,,,,
ex1,1,Mk10,00:04:37 12-May-2017,Argos,0,35.3692,-74.8222,2078,13812,312,74,,,,,,
ex1,1,Mk10,00:05:11 12-May-2017,Argos,0,35.2995,-74.5806,9417,151132,586,118,,,,,,
ex1,1,Mk10,01:50:14 12-May-2017,Argos,1,35.3519,-74.6799,885,1507,519,86,,,,,,
ex1,1,Mk10,08:59:01 12-May-2017,Argos,0,35.2931,-74.7742,2159,21840,213,97,,,,,,
ex1,1,Mk10,10:58:41 12-May-2017,Argos,0,35.2156,-75.3219,203597,,,,,,,,,
ex1,1,Mk10,11:24:13 12-May-2017,Argos,0,35.3288,-74.8953,5985,55262,648,68,,,,,,
ex1,1,Mk10,13:14:37 12-May-2017,Argos,0,35.4548,-74.6801,7143,45753,1115,142,,,,,,
ex1,1,Mk10,16:32:56 12-May-2017,Argos,0,35.3946,-74.1647,13399,203963,880,94,,,,,,
ex1,1,Mk10,22:14:04 12-May-2017,Argos,0,35.3266,-74.8485,3850,32844,451,71,,,,,,
ex1,1,Mk10,22:14:04 12-May-2017,Argos,0,35.1907,-75.0555,7279,90871,583,56,,,,,,
ex1,1,Mk10,23:39:18 12-May-2017,Argos,0,35.0852,-74.8325,2084,44601,97,101,,,,,,
ex1,1,Mk10,07:07:59 13-May-2017,Argos,0,35.1082,-74.7491,3881,21218,709,3,,,,,,
