animal,line,ptt,date,time,latitude,longitud,elong,lc94,nmess,weeddist,weedrate,weedboth,pick,duty,dutylocs,deltahr,nopc,iqx,iqy,nlocrank,distance,rate,azimuth,azimuth2,month,day,year,hour,minute,second,jd,jday,lat_p,lon_p,lat_a,lon_a,switch,first,latest,deployed,daysdply,dist2dply,azfrmdply,azfrmdply2,apbest,apfreq,gt120,dur,altitude,gmt_date,gmt_hour,gmt_min,gmt_sec,sen1,sen2,sen3,sen4,deploy,spp,thetime,colorname,sex,age,popid,icontype,ddmm,mmdd,deplylat,deplylon,exclude,solarhr,solarmn,solarda,solarmo,solaryr,sampsize
ex1,ex120170510:185900XDP,1,2017-05-10,18:59:00,35.535,-74.705,285.295,DP,0,0,0,0,1,0,0,0,0,5,0,80000.01,0,0,999,,5,10,2017,18,59,0,17130,130,35.535,-74.705,35.535,-74.705,1,1,0,5/10/2017,0,0,0,,0,0,0,0,0,5/10/2017,18,59,0,0,0,0,0,ex1-1,z.cavirostris,10MAY17:18:59:00,yellow,M,A,,circle,10_05,05_10,35.535,-74.705,1,14,0,10,5,2017,0
ex1,ex120170511:030038Z99,1,2017-05-11,3:00:38,35.471,-74.709,285.291,L0,6,1,0,0,0,2,4,8.03,2,5,8,5506.8,7.09,0.88,183.21,183.21,5,11,2017,3,0,38,17131,131,35.471,-74.709,30.135,-100.144,0,0,0,5/10/2017,1,7.09,183.21,183.21,-121,677574.7,0,117,0,5/11/2017,3,0,38,4,165,4,48,ex1-1,z.cavirostris,11MAY17:03:00:38,yellow,M,A,,circle,11_05,05_11,35.535,-74.705,0,22,1,10,5,2017,392
ex1,ex120170511:133506Z99,1,2017-05-11,13:35:06,35.548,-74.755,285.245,L0,9,1,0,0,1,2,4,10.57,3,6,8,5609.8,9.51,0.9,333.98,333.95,5,11,2017,13,35,6,17131,131,35.548,-74.755,27.867,-38.57,0,0,0,5/10/2017,1,4.8,287.76,287.73,-120,677659,0,130,0,5/11/2017,13,35,6,187,4,85,85,ex1-1,z.cavirostris,11MAY17:13:35:06,yellow,M,A,,circle,11_05,05_11,35.535,-74.705,0,8,36,11,5,2017,392
ex1,ex120170512:000437Z99,1,2017-05-12,0:04:37,35.369,-74.822,285.178,L0,11,1,0,0,0,3,11,10.49,3,5,8,5511.8,20.77,1.98,197.05,197.01,5,12,2017,0,4,37,17132,132,35.369,-74.822,31.603,-91.97,0,0,0,5/10/2017,2,21.26,210.11,210.05,-123,677574.4,0,199,0,5/12/2017,0,4,37,187,4,85,85,ex1-1,z.cavirostris,12MAY17:00:04:37,yellow,M,A,,circle,12_05,05_12,35.535,-74.705,0,19,5,11,5,2017,392
ex1,ex120170512:015014Z99,1,2017-05-12,1:50:14,35.352,-74.68,285.32,L1,9,1,0,0,1,3,11,1.76,3,5,0,10509,13.04,7.41,98.27,98.36,5,12,2017,1,50,14,17132,132,35.352,-74.68,36.78,-67.649,0,0,0,5/10/2017,2,20.41,173.7,173.72,-124,677586.1,0,174,0,5/12/2017,1,50,14,185,49,181,86,ex1-1,z.cavirostris,12MAY17:01:50:14,yellow,M,A,,circle,12_05,05_12,35.535,-74.705,0,20,51,11,5,2017,392
ex1,ex120170512:131437Z99,1,2017-05-12,13:14:37,35.455,-74.68,285.32,L0,6,1,0,0,0,3,11,11.41,2,5,8,5506.8,11.43,1,0,0,5,12,2017,13,14,37,17132,132,35.455,-74.68,25.693,-28.757,0,0,0,5/10/2017,2,9.13,165.84,165.85,-125,677670.4,0,127,0,5/12/2017,13,14,37,187,4,85,85,ex1-1,z.cavirostris,12MAY17:13:14:37,yellow,M,A,,circle,12_05,05_12,35.535,-74.705,0,8,15,12,5,2017,392
ex1,ex120170512:221404Z99,1,2017-05-12,22:14:04,35.327,-74.848,285.152,L0,9,1,0,0,0,3,11,8.99,3,5,0,5509,20.85,2.32,227.11,227.02,5,12,2017,22,14,4,17132,132,35.327,-74.848,43.166,-38.246,0,0,0,5/10/2017,2,26.48,209.49,209.41,-127,677586.4,0,201,0,5/12/2017,22,14,4,182,141,165,87,ex1-1,z.cavirostris,12MAY17:22:14:04,yellow,M,A,,circle,12_05,05_12,35.535,-74.705,0,17,14,12,5,2017,392
ex1,ex120170513:070759Z99,1,2017-05-13,7:07:59,35.108,-74.749,285.251,L0,6,1,0,0,1,4,9,8.9,3,5,0,5506,25.91,2.91,159.62,159.67,5,13,2017,7,7,59,17133,133,35.108,-74.749,25.806,-31.852,0,0,0,5/10/2017,3,47.53,184.88,184.86,-130,677499.4,0,137,0,5/13/2017,7,7,59,187,4,85,85,ex1-1,z.cavirostris,13MAY17:07:07:59,yellow,M,A,,circle,13_05,05_13,35.535,-74.705,0,2,8,13,5,2017,392
ex1,ex120170513:215914Z99,1,2017-05-13,21:59:14,35.131,-74.755,285.245,L0,6,1,0,0,0,4,9,14.85,1,5,0,5506,2.61,0.18,347.9,347.9,5,13,2017,21,59,14,17133,133,35.131,-74.755,43.825,-32.957,0,0,0,5/10/2017,3,45.04,185.85,185.82,-129,677646.5,0,169,0,5/13/2017,21,59,14,185,49,181,86,ex1-1,z.cavirostris,13MAY17:21:59:14,yellow,M,A,,circle,13_05,05_13,35.535,-74.705,0,17,0,13,5,2017,392
ex1,ex120170514:033321Z99,1,2017-05-14,3:33:21,34.908,-74.98,285.02,LA,3,1,0,1,1,5,5,5.57,2,0,8,3003.8,32.15,5.77,219.76,219.63,5,14,2017,3,33,21,17134,134,34.908,-74.98,26.1,-118.14,0,0,0,5/10/2017,4,73.92,199.9,199.75,-127,677713,0,69,0,5/14/2017,3,33,21,188,211,37,89,ex1-1,z.cavirostris,14MAY17:03:33:21,yellow,M,A,,circle,14_05,05_14,35.535,-74.705,0,22,33,13,5,2017,392
